FILE                                      IDX KIND  LABEL                EXPECT  VERDICT  COUNT NET0 
corpus/alloytools-models/models/examples/case_studies/com.als    3 check Theorem4a            unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/com.als    4 check Theorem4b            unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/firewire.als    0 run   Execution            sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/firewire.als    1 run   ElectionHappens      sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/firewire.als    2 run   NoRepeats            unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/firewire.als    3 run   NoRepeats            unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/firewire.als    4 check NoOverflow           unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/firewire.als    5 check AtMostOneElected     unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/case_studies/firewire.als    6 check OneEventuallyElected sat     SAT         - ok   
corpus/alloytools-models/models/examples/case_studies/ins.als    0 run   Default              -       <ERROR:Command> Analysis cannot be performed since it requires higher-order quantification that could not be skolemized.      - -    
corpus/alloytools-models/models/examples/puzzles/handshake.als    0 run   P10                  sat     SAT         - ok   
corpus/alloytools-models/models/examples/puzzles/handshake.als    1 run   P12                  sat     SAT         - ok   
corpus/alloytools-models/models/examples/puzzles/handshake.als    2 run   P14                  sat     SAT         - ok   
corpus/alloytools-models/models/examples/puzzles/handshake.als    3 run   P16                  sat     SAT         - ok   
corpus/alloytools-models/models/examples/systems/file_system.als    0 check check$1              sat     SAT         - ok   
corpus/alloytools-models/models/examples/systems/file_system.als    1 check check$2              unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/systems/javatypes_soundness.als    0 check TypeSoundness        unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/systems/javatypes_soundness.als    1 check TypeSoundness        unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/systems/lists.als    0 check reflexive            unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/systems/lists.als    1 check symmetric            unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/systems/lists.als    2 check empties              unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/systems/lists.als    3 run   show                 sat     SAT         - ok   
corpus/alloytools-models/models/examples/systems/marksweepgc.als    0 check Soundness1           unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/systems/marksweepgc.als    1 check Soundness2           unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/systems/marksweepgc.als    2 check Completeness         unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/systems/views.als    0 check zippishOK            sat     SAT         - ok   
corpus/alloytools-models/models/examples/temporal/buffer.als    - -     <TIMEOUT>            -       -           - -    
corpus/alloytools-models/models/examples/temporal/leader.als    0 run   run$1                -       SAT         - -    
corpus/alloytools-models/models/examples/temporal/leader.als    1 run   example              -       SAT         - -    
corpus/alloytools-models/models/examples/temporal/leader.als    2 check safety               -       UNSAT       - -    
corpus/alloytools-models/models/examples/temporal/leader.als    3 check liveness             -       SAT         - -    
corpus/alloytools-models/models/examples/temporal/leader_events.als    0 run   run$1                -       SAT         - -    
corpus/alloytools-models/models/examples/temporal/leader_events.als    1 run   example              -       SAT         - -    
corpus/alloytools-models/models/examples/temporal/leader_events.als    2 check safety               -       UNSAT       - -    
corpus/alloytools-models/models/examples/temporal/leader_events.als    3 check liveness             -       UNSAT       - -    
corpus/alloytools-models/models/examples/temporal/trash.als    0 run   example              -       SAT         - -    
corpus/alloytools-models/models/examples/temporal/trash.als    1 check restoreAfterDelete   -       UNSAT       - -    
corpus/alloytools-models/models/examples/temporal/trash.als    2 check restoreAfterDelete   -       <ERROR:Command> Bounded engines do not support complete model checking.      - -    
corpus/alloytools-models/models/examples/temporal/trash.als    3 check deleteAll            -       UNSAT       - -    
corpus/alloytools-models/models/examples/temporal/trash.als    4 check Exercise1            -       UNSAT       - -    
corpus/alloytools-models/models/examples/temporal/trash.als    5 check Exercise2            -       UNSAT       - -    
corpus/alloytools-models/models/examples/temporal/trash.als    6 check Exercise3            -       UNSAT       - -    
corpus/alloytools-models/models/examples/temporal/trash.als    7 check Exercise4            -       UNSAT       - -    
corpus/alloytools-models/models/examples/temporal/trash.als    8 check restoreIsPossibleBeforeEmpty -       <ERROR:Command> Bounded engines do not support complete model checking.      - -    
corpus/alloytools-models/models/examples/toys/ceilingsAndFloors.als    0 check BelowToo             sat     SAT         - ok   
corpus/alloytools-models/models/examples/toys/ceilingsAndFloors.als    1 check BelowToo"            unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/toys/ceilingsAndFloors.als    2 check BelowToo"            sat     SAT         - ok   
corpus/alloytools-models/models/examples/toys/ceilingsAndFloors.als    3 check BelowToo""           unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/toys/ceilingsAndFloors.als    4 check BelowToo""           unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/toys/numbering.als    0 check PreserveForest       unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/toys/numbering.als    1 check AddNeverReduces      sat     SAT         - ok   
corpus/alloytools-models/models/examples/tutorial/farmer.als    0 run   solvePuzzle          sat     SAT         - ok   
corpus/alloytools-models/models/examples/tutorial/farmer.als    1 check NoQuantumObjects     unsat   UNSAT       - ok   
corpus/alloytools-models/models/util/boolean.als    0 run   Default              -       SAT         - -    
corpus/alloytools-models/models/util/graph.als    0 run   Default              -       SAT         - -    
corpus/alloytools-models/models/util/integer.als    0 run   Default              -       SAT         - -    
corpus/alloytools-models/models/util/natural.als    0 run   Default              -       SAT         - -    
corpus/alloytools-models/models/util/ordering.als    0 run   run$1                unsat   UNSAT       - ok   
corpus/alloytools-models/models/util/ordering.als    1 run   run$2                sat     SAT         - ok   
corpus/alloytools-models/models/util/ordering.als    2 run   run$3                sat     SAT         - ok   
corpus/alloytools-models/models/util/ordering.als    3 run   run$4                sat     SAT         - ok   
corpus/alloytools-models/models/util/ordering.als    4 run   run$5                sat     SAT         - ok   
corpus/alloytools-models/models/util/ordering.als    5 check correct              -       UNSAT       - -    
corpus/alloytools-models/models/util/ordering.als    6 check correct              -       UNSAT       - -    
corpus/alloytools-models/models/util/ordering.als    7 check correct              -       UNSAT       - -    
corpus/alloytools-models/models/util/ordering.als    8 check correct              -       UNSAT       - -    
corpus/alloytools-models/models/util/ordering.als    9 check correct              -       UNSAT       - -    
corpus/alloytools-models/models/util/ordering.als   10 check correct              -       UNSAT       - -    
corpus/alloytools-models/models/util/relation.als    0 run   Default              -       SAT         - -    
corpus/alloytools-models/models/util/seqrel.als    0 run   Default              -       SAT         - -    
corpus/alloytools-models/models/util/sequence.als    0 run   Default              -       SAT         - -    
corpus/alloytools-models/models/util/sequniv.als    0 run   Default              -       SAT         - -    
corpus/alloytools-models/models/util/ternary.als    0 run   Default              -       SAT         - -    
corpus/alloytools-models/models/util/time.als    0 run   Default              -       SAT         - -    

commands=234 with_expect=94 matches=91 mismatches=3 timeouts=1 errors=7
